Park Code,Category,Order,Family,Taxa Code,Scientific Name,Synonyms,Common Name,Occurrence,Occurrence Tags,Abundance,Nativeness,Nativeness Tags,Record Status
ACAD,Mammal,Artiodactyla,Cervidae,95052,Alces alces,,Moose,Present,,Rare,Native,,Approved
ACAD,Mammal,Artiodactyla,Cervidae,95046,Odocoileus virginianus,,"Northern White-tailed Deer, Virginia Deer, White-tailed Deer",Present,,Abundant,Native,,Approved
ACAD,Mammal,Carnivora,Canidae,93340,Canis latrans,,"Coyote, Eastern Coyote",Present,,Common,Non-native,,Approved
ACAD,Mammal,Carnivora,Canidae,93337,Canis lupus,,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Unconfirmed,,,Native,,Approved
ACAD,Mammal,Carnivora,Canidae,93347,Vulpes vulpes,,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Present,,Common,Unknown,,Approved
ACAD,Mammal,Carnivora,Felidae,93325,Lynx canadensis,,Canada Lynx,Unconfirmed,,,Native,,Approved
ACAD,Mammal,Carnivora,Felidae,93322,Lynx rufus,,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Present,,,Non-native,,Approved
ACAD,Mammal,Carnivora,Mephitidae,93300,Mephitis mephitis,,"Eastern Skunk, Polecat, Striped Skunk",Not In Park,Historical,,Native,,Approved
ACAD,Mammal,Carnivora,Mustelidae,93311,Lutra canadensis,,"Otter, River Otter",Present,,Common,Native,,Approved
ACAD,Mammal,Carnivora,Mustelidae,93298,Martes pennanti,,"Blackcat, Fisher, Pekan",Present,,Rare,Native,,Approved
ACAD,Mammal,Carnivora,Mustelidae,93289,Mustela,,Weasel,Unconfirmed,,,Unknown,,In Review
ACAD,Mammal,Carnivora,Mustelidae,93292,Mustela erminea,,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-tailed Weasel",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Carnivora,Mustelidae,93293,Mustela frenata,,"Long-tailed Weasel, New York Weasel, Northern Long-tailed Weasel",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Carnivora,Mustelidae,151663,Mustela macrodon,,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Unconfirmed,,,Native,,Approved
ACAD,Mammal,Carnivora,Mustelidae,93290,Mustela vison,,"American Mink, Mink",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Carnivora,Odobenidae,93385,Odobenus rosmarus,,Walrus,Unconfirmed,,,Non-native,,Approved
ACAD,Mammal,Carnivora,Phocidae,93401,Halichoerus grypus,,Gray Seal,Unconfirmed,,,Native,,Approved
ACAD,Mammal,Carnivora,Phocidae,93396,Phoca vitulina,,"Common Seal, Hair Seal, Harbor Seal",Unconfirmed,,,Native,,Approved
ACAD,Mammal,Carnivora,Procyonidae,93314,Procyon lotor,,"Common Raccoon, Raccoon",Present,,Common,Native,,Approved
ACAD,Mammal,Carnivora,Ursidae,93280,Ursus americanus,,Black Bear,Present,,Occasional,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88730,Eptesicus fuscus,,"Big Brown Bat, Common Brown Bat",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88737,Lasionycteris noctivagans,,Silver-haired Bat,Present,,Unknown,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88739,Lasiurus borealis,,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Present,,Occasional,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88740,Lasiurus cinereus,,Hoary Bat,Present,,Unknown,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88707,Myotis keenii,,"Keen's Myotis, Northern Long-eared Bat, Northern Myotis, Say's Bat",Present,,Common,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88718,Myotis leibii,,"Eastern Small-footed Myotis, Small-footed Myotis",Not In Park,Historical,,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88706,Myotis lucifugus,,"Little Brown Bat, Little Brown Myotis",Present,,Common,Native,,Approved
ACAD,Mammal,Chiroptera,Vespertilionidae,88749,Pipistrellus subflavus,,"Eastern Pipistrelle, Northern Georgian Bat",Not In Park,False Report,,Non-native,,Approved
ACAD,Mammal,Eulipotyphla,Soricidae,88683,Blarina brevicauda,,"Mole Shrew, Northern Short-tailed Shrew, Short-tailed Shrew",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Eulipotyphla,Soricidae,88122,Sorex cinereus,,Masked Shrew,Present,,Abundant,Native,,Approved
ACAD,Mammal,Eulipotyphla,Soricidae,88657,Sorex fumeus,,"Northern Smoky Shrew, Smoky Shrew",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Eulipotyphla,Soricidae,88660,Sorex hoyi,,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Present,,Common,Native,,Approved
ACAD,Mammal,Eulipotyphla,Soricidae,88127,Sorex palustris,,"Northern Water Shrew, Water Shrew, White-lipped Water Shrew",Present,,Uncommon,Native,,Approved
ACAD,Mammal,Eulipotyphla,Talpidae,88680,Condylura cristata,,Star-nosed Mole,Present,,Common,Native,,Approved
ACAD,Mammal,Eulipotyphla,Talpidae,88694,Parascalops breweri,,"Brewer's Mole, Hairy-tailed Mole",Unconfirmed,,,Native,,Approved
ACAD,Mammal,Lagomorpha,Leporidae,89638,Lepus americanus,,"Snowshoe Hare, Varying Hare",Present,,Common,Native,,Approved
ACAD,Mammal,Rodentia,Castoridae,90673,Castor canadensis,,"American Beaver, Beaver, Canadian Beaver",Present,,Common,Non-native,,Approved
ACAD,Mammal,Rodentia,Cricetidae,90763,Clethrionomys gapperi,,"Boreal Redback Vole, Red-backed Mouse, Red-backed Vole, Southern Red-backed Vole, White-Mountain Red-backed Mouse",Present,,Common,Native,,Approved
ACAD,Mammal,Rodentia,Cricetidae,90766,Microtus pennsylvanicus,,"Field Mouse, Meadow Mouse, Meadow Vole",Not In Park,Historical,,Native,,Approved
ACAD,Mammal,Rodentia,Cricetidae,91709,Ondatra zibethicus,,"Common Muskrat, Muskrat, Musquash, Water Rat",Not In Park,Historical,,Native,,Approved
ACAD,Mammal,Rodentia,Cricetidae,90745,Peromyscus leucopus,,White-footed Mouse,Present,,Common,Native,,Approved
ACAD,Mammal,Rodentia,Cricetidae,90743,Peromyscus maniculatus,,Deer Mouse,Present,,Abundant,Native,,Approved
ACAD,Mammal,Rodentia,Cricetidae,91716,Synaptomys cooperi,,"Cooper Lemming Mouse, Southern Bog Lemming",Present,,Rare,Native,,Approved
ACAD,Mammal,Rodentia,Dipodidae,91789,Napaeozapus insignis,,Woodland Jumping Mouse,Present,,Rare,Native,,Approved
ACAD,Mammal,Rodentia,Dipodidae,91784,Zapus hudsonius,,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Present,,Uncommon,Native,,Approved
